"Symbol";"Date";"Open";"High";"Low";"Close"
GC3-067;09.03.2010;1371,7;1373,0;1356,1;1369,1
GC3-067;10.03.2010;1369,4;1376,2;1351,0;1356,6
GC3-067;11.03.2010;1356,8;1359,6;1348,4;1357,7
GC3-067;12.03.2010;1357,9;1367,4;1345,2;1349,4
GC3-067;15.03.2010;1349,6;1358,4;1348,9;1356,5
GC3-067;16.03.2010;1356,2;1377,2;1356,0;1373,6
GC3-067;17.03.2010;1374,2;1381,8;1366,1;1372,8
GC3-067;18.03.2010;1372,4;1377,4;1366,1;1373,6
GC3-067;19.03.2010;1373,7;1375,4;1348,9;1355,1
GC3-067;22.03.2010;1355,9;1356,5;1340,0;1350,3
GC3-067;23.03.2010;1350,4;1355,9;1341,9;1350,0
GC3-067;24.03.2010;1350,1;1353,9;1332,7;1335,0
GC3-067;25.03.2010;1335,3;1343,5;1333,4;1338,7
GC3-067;26.03.2010;1339,5;1357,7;1336,4;1354,9
GC3-067;29.03.2010;1358,3;1362,6;1351,0;1356,5
GC3-067;30.03.2010;1357,6;1360,8;1349,0;1350,5
GC3-067;31.03.2010;1351,0;1366,6;1349,9;1360,4
GC3-067;01.04.2010;1360,7;1375,2;1358,4;1373,2
GC3-067;05.04.2010;1368,1;1380,4;1366,9;1377,2
GC3-067;06.04.2010;1378,0;1385,7;1369,6;1380,9
GC3-067;07.04.2010;1381,3;1400,3;1379,4;1394,7
GC3-067;08.04.2010;1396,3;1400,8;1390,5;1397,8
GC3-067;09.04.2010;1397,9;1411,9;1396,5;1408,0
GC3-067;12.04.2010;1412,4;1416,8;1400,9;1402,8
GC3-067;13.04.2010;1402,3;1404,2;1391,5;1398,1
GC3-067;14.04.2010;1398,1;1408,9;1397,1;1401,5
GC3-067;15.04.2010;1401,9;1408,4;1396,8;1405,6
GC3-067;16.04.2010;1405,5;1407,3;1376,1;1383,9
GC3-067;19.04.2010;1383,1;1384,6;1370,4;1381,3
GC3-067;20.04.2010;1382,7;1392,9;1380,1;1386,5
GC3-067;21.04.2010;1386,5;1397,3;1384,2;1392,7
GC3-067;22.04.2010;1393,1;1395,9;1378,1;1387,9
GC3-067;23.04.2010;1387,9;1404,6;1381,3;1404,5
GC3-067;26.04.2010;1404,6;1406,8;1397,2;1399,6
GC3-067;27.04.2010;1400,3;1419,5;1392,7;1415,0
GC3-067;28.04.2010;1414,8;1421,4;1407,1;1411,6
GC3-067;29.04.2010;1411,5;1417,9;1408,3;1413,8
GC3-067;30.04.2010;1414,1;1428,6;1413,9;1426,4
GC3-067;03.05.2010;1427,1;1434,5;1423,2;1428,9
GC3-067;04.05.2010;1429,0;1438,9;1413,0;1418,7
GC3-067;05.05.2010;1417,3;1423,8;1402,3;1422,1
GC3-067;06.05.2010;1422,1;1458,0;1419,1;1455,4
